shipment_id,sku,quantity,eta_date,origin,status
OTG-INB-PRIORITY-001,08252K,3000,2026-07-15,Busan,port_hold
OTG-INB-PRIORITY-002,08253K,3000,2026-07-22,Busan,in_transit
OTG-INB-PRIORITY-003,03632K,2160,2026-07-22,Incheon,in_transit
OTG-INB-PRIORITY-004,OTK-DEMO-RIC-001,2160,2026-07-08,Incheon,confirmed
OTG-INB-PRIORITY-005,OTK-DEMO-OIL-001,1800,2026-07-01,Busan,in_transit
OTG-INB-0001,OTK-DEMO-TEA-003,1080,2026-06-22,Pyeongtaek,planned
OTG-INB-0002,OTK-DEMO-SOU-008,1440,2026-07-22,Busan,in_transit
OTG-INB-0003,OTK-DEMO-SAU-016,360,2026-07-25,Los Angeles Co-Pack,in_transit
OTG-INB-0004,OTK-DEMO-RIC-011,2160,2026-06-28,Incheon,planned
OTG-INB-0005,OTK-DEMO-CUR-011,1440,2026-07-19,Pyeongtaek,confirmed
OTG-INB-0006,OTK-DEMO-SAU-010,1080,2026-07-11,Los Angeles Co-Pack,in_transit
OTG-INB-0007,03637K,360,2026-07-09,Busan,confirmed
OTG-INB-0008,OTK-DEMO-SOU-009,360,2026-07-11,Los Angeles Co-Pack,in_transit
OTG-INB-0009,OTK-DEMO-OIL-002,360,2026-06-19,Busan,port_hold
OTG-INB-0010,OTK-DEMO-FRZ-001,240,2026-06-18,Busan,planned
OTG-INB-0011,OTK-DEMO-MIX-005,540,2026-07-05,Incheon,port_hold
OTG-INB-0012,OTK-DEMO-SAU-009,1080,2026-07-14,Pyeongtaek,in_transit
OTG-INB-0013,OTK-DEMO-FRZ-001,480,2026-07-07,Incheon,confirmed
OTG-INB-0014,OTK-DEMO-OIL-001,1440,2026-08-01,Pyeongtaek,in_transit
OTG-INB-0015,OTK-DEMO-FRZ-005,240,2026-06-14,Busan,port_hold
OTG-INB-0016,OTK-DEMO-TEA-005,360,2026-06-15,Pyeongtaek,planned
OTG-INB-0017,03637K,1440,2026-07-26,Pyeongtaek,port_hold
OTG-INB-0018,03633K,2160,2026-06-10,Los Angeles Co-Pack,in_transit
OTG-INB-0019,OTK-DEMO-VNG-003,360,2026-07-27,Los Angeles Co-Pack,port_hold
OTG-INB-0020,OTK-DEMO-SOU-006,1080,2026-07-22,Pyeongtaek,planned
